config,direction,model,mean_RMSE,std_RMSE,mean_MSE,std_MSE,mean_R2,std_R2,mean_ada_theta
main,A_target_is_X,transfer_ridge,4.660713603765681,0.20970897622676093,21.76403025830106,1.9743303266356647,0.9546599855782801,0.004113032578088671,0.9400000000000001
main,A_target_is_X,transfer_ridge_ada,4.6792584844406315,0.220811257597695,21.941779695117415,2.0843642077827296,0.9542896882605014,0.004342261158405641,0.9400000000000001
main,A_target_is_X,pooled_ridge,5.096338109119296,0.08143245890013676,25.978961805556036,0.8315298675433979,0.9458792103785116,0.0017322883555599066,0.9400000000000001
main,A_target_is_X,transfer_lasso,5.566799994559949,0.3650213330918727,31.11584072436421,4.184241866838674,0.9351777841492149,0.008716840784306073,0.9400000000000001
main,A_target_is_X,single_ridge,6.357899874365154,2.172646759295134,44.90726505609432,41.95614671805814,0.906446737064854,0.08740533231665545,0.9400000000000001
main,A_target_is_X,single_lasso,8.06719431835297,2.8904284967141316,73.01647221995269,62.59271176678002,0.8478881041707306,0.13039654974371895,0.9400000000000001
main,B_target_is_X1,transfer_ridge,4.8161147293293824,0.2664064161311482,23.262384845691482,2.6457767012748636,0.9515385316106622,0.005511826273385134,0.905
main,B_target_is_X1,transfer_ridge_ada,4.873518667291245,0.36919515310382517,23.880674008457824,3.912840779772236,0.9502504779173014,0.008151443242783643,0.905
main,B_target_is_X1,pooled_ridge,5.4774490182106605,0.13840515862251915,30.02064593563359,1.5202273791256158,0.9374593536437574,0.003167020559878112,0.905
main,B_target_is_X1,transfer_lasso,5.680290665196167,0.31311199552787045,32.35883920677098,3.5965446888552384,0.9325883019416625,0.007492517981537985,0.905
main,B_target_is_X1,single_ridge,6.837480106504327,2.2706576879160276,51.649226225749985,47.922204031654616,0.892401515980571,0.09983414818526502,0.905
main,B_target_is_X1,single_lasso,8.560691123423958,3.373860578687903,84.09922095487279,79.47263902177595,0.8247999177682181,0.16556173450480827,0.905
no_whiten,A_target_is_X,transfer_ridge_ada,4.836583317223723,0.21948967145333634,23.43830511452779,2.1867936405320214,0.9511720449153467,0.004555647737221402,0.86
no_whiten,A_target_is_X,transfer_ridge,4.852665968506113,0.23962115338250564,23.602914384188313,2.3869221869536235,0.9508291219101965,0.004972566436251989,0.86
no_whiten,A_target_is_X,transfer_lasso,4.877620103278698,0.30202173894331835,23.877834146163128,3.0852621158346323,0.9502563940732648,0.00642738624999724,0.86
no_whiten,A_target_is_X,single_lasso,4.993258681261946,0.32612247374208975,25.03367033248347,3.3343734425952585,0.947848493113059,0.006946348547599862,0.86
no_whiten,A_target_is_X,single_ridge,5.016362830778758,0.2552578339145625,25.22579478370469,2.6056924359911022,0.9474482489815378,0.005428320546528431,0.86
no_whiten,A_target_is_X,pooled_ridge,5.796770896388418,0.05758420423100352,33.60570296876385,0.6682379332723564,0.9299907673729393,0.0013921096953149594,0.86
no_whiten,B_target_is_X1,transfer_lasso,5.079175328283582,0.26232601741308864,25.863396207885852,2.7120919255221025,0.9461199629322821,0.005649977764081688,0.9099999999999999
no_whiten,B_target_is_X1,transfer_ridge_ada,5.2325078046495745,0.14773943177805354,27.399873518435708,1.5513238659329864,0.942919089629305,0.0032318024565938207,0.9099999999999999
no_whiten,B_target_is_X1,single_lasso,5.237422537214693,0.303689727011102,27.518210911101864,3.2105360536078313,0.9426725627210792,0.006688363747174538,0.9099999999999999
no_whiten,B_target_is_X1,transfer_ridge,5.2540918468447,0.14819842626799956,27.62634576995085,1.559269102952575,0.9424472902875495,0.003248354407532009,0.9099999999999999
no_whiten,B_target_is_X1,pooled_ridge,5.327845039244327,0.16893162732465766,28.413043762175413,1.7751347417355958,0.9408083981389138,0.003698057475365385,0.9099999999999999
no_whiten,B_target_is_X1,single_ridge,5.46069099968345,0.3494458862220456,29.93515300005148,3.9715982637817544,0.9376374571882866,0.008273850036964538,0.9099999999999999
off1,A_target_is_X,transfer_ridge,4.58396404799617,0.17243828313595466,21.04097460673776,1.5674927103415055,0.9561662945330328,0.0032654862748004985,0.93
off1,A_target_is_X,transfer_ridge_ada,4.588131714203333,0.18003924157492504,21.081746048959943,1.6382607924768022,0.9560813572417126,0.0034129142018218595,0.93
off1,A_target_is_X,pooled_ridge,4.963076342854686,0.14715865947325302,24.65269967250891,1.471976844961984,0.9486421519626607,0.003066502416461152,0.93
off1,A_target_is_X,transfer_lasso,5.579867859237942,0.5213374321134518,31.39312840877313,5.842034058306922,0.9346001233271679,0.01217044386137014,0.93
off1,A_target_is_X,single_ridge,6.213689916408108,1.9673130195639275,42.28674686837026,36.12514083532322,0.9119059434257013,0.07525786295189947,0.93
off1,A_target_is_X,single_lasso,8.128901156441204,3.5096590976290476,77.78085564368294,90.84138436429596,0.8379626808654518,0.18924572463297468,0.93
off1,B_target_is_X1,transfer_ridge,4.70531083531941,0.12971380229160093,22.15593444395394,1.2297153525022155,0.9538435494118833,0.002561810067131081,0.9650000000000001
off1,B_target_is_X1,transfer_ridge_ada,4.712468470050614,0.13290158244743813,22.224138770307356,1.2623587670264447,0.9537014624406842,0.0026298146080059506,0.9650000000000001
off1,B_target_is_X1,pooled_ridge,5.213878160632536,0.1384046463696388,27.202723527750784,1.445159868537599,0.9433298032386326,0.0030106358290966973,0.9650000000000001
off1,B_target_is_X1,transfer_lasso,5.904830677150066,0.5452451445677885,35.14945298010352,6.905354803415882,0.9267747431831653,0.01438561161044852,0.9650000000000001
off1,B_target_is_X1,single_ridge,6.8919724177027035,2.3647861377417954,52.811886609767825,51.14687835520386,0.8899793984796627,0.10655196554720821,0.9650000000000001
off1,B_target_is_X1,single_lasso,9.06748323348847,3.7102896083272117,95.29718871837238,91.95677664847075,0.8014717008035603,0.1915693706512057,0.9650000000000001
off2,A_target_is_X,transfer_ridge_ada,4.7150241520333225,0.14694239988405913,22.251965219697055,1.3845255629516595,0.9536434928642012,0.002884319137882311,0.95
off2,A_target_is_X,transfer_ridge,4.723301214830729,0.15872131679707432,22.333507199606952,1.4987939508028822,0.9534736201659367,0.003122369273433163,0.95
off2,A_target_is_X,pooled_ridge,5.087489363688495,0.09299770904105323,25.89076417083611,0.9456977820789196,0.9460629484997467,0.00197012917962162,0.95
off2,A_target_is_X,transfer_lasso,5.52394528506566,0.2604039468070153,30.578391217136176,2.8621762268652904,0.9362974282647331,0.005962641563323492,0.95
off2,A_target_is_X,single_ridge,6.450334736833147,2.4587636429546045,47.35006093651597,52.716257495095434,0.901357771504103,0.10982138173489664,0.95
