distribution,tau,mismatch,c,r,r2
gaussian,0.2,0.0,1.8014233117662881,0.8328880313268678,0.6937024727275456
gaussian,0.2,0.1,1.8014778342609992,0.8341864544013896,0.6958670407067616
gaussian,0.2,0.2,1.8016423450285053,0.8380699659500996,0.7023612678276012
gaussian,0.2,0.30000000000000004,1.8019196689110555,0.8445038639232509,0.7131867761813008
gaussian,0.2,0.4,1.8023144964176427,0.853432155631926,0.7283464442665559
gaussian,0.2,0.5,1.8028333548353705,0.864780127853019,0.747844669529484
gaussian,0.2,0.6000000000000001,1.8034845630359788,0.8784575887773831,0.7716877352805739
gaussian,0.2,0.7000000000000001,1.804278166060247,0.8943624992044223,0.7998842799831803
gaussian,0.2,0.8,1.8052258455219994,0.9123847130561539,0.8324458646185603
gaussian,0.2,0.9,1.8063408024808534,0.9324095831165944,0.8693876306876613
gaussian,0.2,1.0,1.8076376106533822,0.9543212444547,0.9107290376175673
gaussian,0.2,1.1,1.809132039548364,0.9780054520616108,0.9564946642622357
gaussian,0.2,1.2000000000000002,1.8108408491316081,1.0033519099920791,1.0067150552847532
gaussian,0.2,1.3,1.8127815597081625,1.0302560798023155,1.061427589969635
gaussian,0.2,1.4000000000000001,1.814972202599698,1.0586204933172252,1.1206773488712052
gaussian,0.2,1.5,1.8174310586644262,1.0883556187938503,1.1845179529601448
gaussian,0.2,1.6,1.8201763925903478,1.1193803422904454,1.2530123507062747
gaussian,0.2,1.7000000000000002,1.8232261911105425,1.1516221301957172,1.3262335307565216
gaussian,0.2,1.8,1.8265979128552627,1.1850169371290056,1.4042651412826095
gaussian,0.2,1.9000000000000001,1.830308256565702,1.2195089180931307,1.4872020013086782
gaussian,0.2,2.0,1.8343729530035016,1.25504999659546,1.5751504939542642
gaussian,0.2,2.1,1.8388065842808141,1.2915993326584538,1.6682288361237634
gaussian,0.2,2.2,1.8436224326887614,1.3291227269852335,1.7665672233886636
gaussian,0.2,2.3000000000000003,1.848832359571007,1.3675919904689973,1.870307852394954
gaussian,0.2,2.4000000000000004,1.8544467134860416,1.4069843019562462,1.9796048259513055
gaussian,0.2,2.5,1.8604742658917734,1.4472815717706284,2.094623947986861
gaussian,0.2,2.6,1.8669221718896774,1.4884698239698873,2.215542416868947
gaussian,0.2,2.7,1.8737959531684776,1.5305386065880566,2.34254842625651
gaussian,0.2,2.8000000000000003,1.8810995001487725,1.5734804361284607,2.475840682879011
gaussian,0.2,2.9000000000000004,1.8888350903966498,1.6172902802288087,2.6156278505225785
gaussian,0.2,3.0,1.8970034205877697,1.66196508062327,2.762127929211112
gaussian,0.2,3.1,1.9056036496080355,1.7075033171858411,2.915567578200651
gaussian,0.2,3.2,1.9146334507248683,1.753904612868921,3.07618139104288
gaussian,0.2,3.3000000000000003,1.9240890711153498,1.8011693786724323,3.244211130667236
gaussian,0.2,3.4000000000000004,1.9339653973662443,1.8492984973243123,3.4199049322059594
gaussian,0.2,3.5,1.9442560258473598,1.8982930440639225,3.6035164811414733
gaussian,0.2,3.6,1.9549533370939536,1.9481540427481085,3.7953041742757994
gaussian,0.2,3.7,1.966048573512678,1.9988822554066286,3.9955302709794904
gaussian,0.2,3.8000000000000003,1.9775319198507877,2.050478003329915,4.204460042139835
gaussian,0.2,3.9000000000000004,1.989392585945807,2.102941017756327,4.4223609241620165
gaussian,0.2,4.0,2.001618891310153,2.1562703182230747,4.64950168524984
gaussian,0.2,4.1000000000000005,2.0141983511118506,2.210464116646425,4.88615161098146
gaussian,0.2,4.2,2.027117763097381,2.2655197451975275,5.13257971587987
gaussian,0.2,4.3,2.04036329497518,2.3214336060397422,5.389053987250681
gaussian,0.2,4.4,2.0539205717461693,2.378201140992494,5.6558406670179995
gaussian,0.2,4.5,2.0677747624378604,2.4358168191885428,5.93320357664179
gaussian,0.2,4.6000000000000005,2.081910665676454,2.494274140799413,6.221403489460649
gaussian,0.2,4.7,2.096312793520615,2.553565654920951,6.520697553991866
gaussian,0.2,4.800000000000001,2.1109654529839568,2.6136829897409974,6.831338770861439
gaussian,0.2,4.9,2.1258528246913397,2.6746168931557412,7.15357552515407
gaussian,0.2,5.0,2.1409590381470376,2.7363572820623503,7.487651175095653
gaussian,0.2,5.1000000000000005,2.156268243139191,2.7988932986328883,7.83380369713209
gaussian,0.2,5.2,2.1717646768628933,2.862213371967749,8.192265386670993
gaussian,0.2,5.300000000000001,2.1874327264113576,2.926305283634668,8.563262613028174
gaussian,0.2,5.4,2.2032569863578395,2.9911562357187846,8.94701562647937
gaussian,0.2,5.5,2.2192223112278224,3.056752920138496,9.343738414775222
gaussian,0.2,5.6000000000000005,2.2353138627383835,3.1230815881168787,9.753638606034645
gaussian,0.2,5.7,2.2515171517572905,3.190128118836972,10.176917414594318
gaussian,0.2,5.800000000000001,2.2678180750059167,3.2578780864473615,10.613769626153923
gaussian,0.2,5.9,2.2842029465959275,3.3263168247201538,11.064383618416366
gaussian,0.2,6.0,2.300658524548261,3.3954294887933107,11.528941413367203
gaussian,0.2,6.1000000000000005,2.317172032493659,3.46520111355213,12.007618757362922
gaussian,0.2,6.2,2.3337311767957036,3.5356166683173464,12.500585225283453
gaussian,0.2,6.300000000000001,2.3503241593731032,3.606661107614232,13.008004345177119
gaussian,0.2,6.4,2.3669396865163237,3.6783194178785013,13.530033739942036
gaussian,0.2,6.5,2.383566974021535,3.750576660052621,14.066825282931475
gaussian,0.2,6.6000000000000005,2.4001957489638417,3.8234180080786393,14.618525264500029
gaussian,0.2,6.7,2.416816248441035,3.896828783361586,15.18527456683534
gaussian,0.2,6.800000000000001,2.43341921561443,3.9707944853222026,15.767208844665216
gaussian,0.2,6.9,2.449995893365897,4.0453008181958205,16.364458709695775
gaussian,0.2,7.0,2.466538015878788,4.12033371426359,16.977149916897194
gaussian,0.2,7.1000000000000005,2.483037798435589,4.195879353723139,17.60540355100011
gaussian,0.2,7.2,2.4994879257080234,4.271924181419832,18.249336211799505
gaussian,0.2,7.300000000000001,2.5158815387966564,4.348454920668069,18.909060197082344
gaussian,0.2,7.4,2.5322122212570943,4.42545858439474,19.58468368219309
gaussian,0.2,7.5,2.548473984329702,4.502922483835939,20.276310895435223
gaussian,0.2,7.6000000000000005,2.564661251569319,4.5808342350131195,20.98404228866823
gaussian,0.2,7.7,2.580768843051526,4.659181763207617,21.707974702606442
gaussian,0.2,7.800000000000001,2.596791959312648,4.737953305642901,22.448201526452497
gaussian,0.2,7.9,2.612726165162097,4.81713741257287,23.204812851609244
gaussian,0.2,8.0,2.628567373488378,4.8967229469627584,23.977895619311642
gaussian,0.2,8.1,2.6443118291635304,4.976699082936191,24.767533762097926
gaussian,0.2,8.200000000000001,2.6599560931359267,5.057055303149478,25.573808339112258
gaussian,0.2,8.3,2.675497026787317,5.137781395241044,26.396797665285007
gaussian,0.2,8.4,2.690931776617451,5.218867447491253,27.23657743448387
gaussian,0.2,8.5,2.706257759308302,5.30030384381578,28.093220836768335
gaussian,0.2,8.6,2.721472647209602,5.3820812582036845,28.966798669907355
gaussian,0.2,8.700000000000001,2.7365743542783734,5.464190648700275,29.857379445343533
gaussian,0.2,8.8,2.751561022497122,5.54662325102437,30.765029488804146
gaussian,0.2,8.9,2.7664310087882993,5.629370571899727,31.689813035770662
gaussian,0.2,9.0,2.7811828724364585,5.7124243821712,32.63179232202402
gaussian,0.2,9.1,2.795815363024376,5.795776709768119,33.591027669490565
gaussian,0.2,9.200000000000001,2.810327408884654,5.879419832569293,34.567577567609135
gaussian,0.2,9.3,2.8247181060646813,5.963346271217438,35.56149875044292
gaussian,0.2,9.4,2.8389867077993753,6.047548781924145,36.57284626975221
gaussian,0.2,9.5,2.8531326144836076,6.132020349301027,37.60167356424189
gaussian,0.2,9.600000000000001,2.8671553641339047,6.216754179247429,38.64803252519038
gaussian,0.2,9.700000000000001,2.8810546233272074,6.3017436919203,39.71197355865729
gaussian,0.2,9.8,2.894830178603192,6.386982514808097,40.793545644464366
gaussian,0.2,9.9,2.908481928315377,6.472464475926408,41.89279639212931
gaussian,0.2,10.0,2.922009874915673,6.558183597150273,43.00977209393089
gaussian,0.5,0.0,1.0153350094255569,0.5673579024147476,0.32189498943246225
gaussian,0.5,0.1,1.0154462643797313,0.5702829065172819,0.32522259346579885
gaussian,0.5,0.2,1.0157818193517654,0.5789739506149828,0.33521083549072056
gaussian,0.5,0.30000000000000004,1.0163469632105995,0.5931916562303338,0.35187634102128645
gaussian,0.5,0.4,1.0171502426361534,0.6125748224435167,0.375247913091706
gaussian,0.5,0.5,1.0182030719874338,0.6366852347429205,0.40536808813964775
gaussian,0.5,0.6000000000000001,1.0195192119279988,0.6650527415986084,0.44229514910782536
gaussian,0.5,0.7000000000000001,1.0211141425573846,0.6972126238325501,0.486105442831469
gaussian,0.5,0.8,1.0230043638594022,0.7327317544661993,0.5368958240031146
gaussian,0.5,0.9,1.0252066612056916,0.7712237277335459,0.5947860382192265
gaussian,0.5,1.0,1.0277373752552348,0.8123551337634927,0.659920863351902
gaussian,0.5,1.1,1.0306117133262025,0.8558456932838354,0.7324718507124889
